t,x,y,yaw
5.10,65.0197,-34.8746,1.2924
5.20,65.0355,-34.8271,1.2752
5.30,65.0566,-34.7672,1.2645
5.40,65.0772,-34.7083,1.2494
5.50,65.0981,-34.6529,1.2368
5.60,65.1208,-34.5947,1.2219
5.70,65.1440,-34.5383,1.2110
5.80,65.1679,-34.4803,1.1998
5.90,65.1924,-34.4219,1.1839
6.00,65.2175,-34.3638,1.1757
6.10,65.2428,-34.3061,1.1652
6.20,65.2695,-34.2507,1.1561
6.30,65.2965,-34.1939,1.1455
6.40,65.3229,-34.1398,1.1360
6.50,65.3490,-34.0883,1.1280
6.60,65.3771,-34.0320,1.1213
6.70,65.4041,-33.9807,1.1131
6.80,65.4328,-33.9281,1.1012
6.90,65.4617,-33.8741,1.0905
7.00,65.4905,-33.8229,1.0835
7.10,65.5204,-33.7683,1.0773
7.20,65.5516,-33.7146,1.0685
7.30,65.5826,-33.6601,1.0626
7.40,65.5845,-33.6565,1.0622
7.50,65.6231,-33.5902,1.0568
7.60,65.6670,-33.5140,1.0536
7.70,65.7094,-33.4396,1.0524
7.80,65.7537,-33.3624,1.0495
7.90,65.7966,-33.2884,1.0466
8.00,65.8428,-33.2138,1.0406
8.10,65.8867,-33.1356,1.0383
8.20,65.9314,-33.0634,1.0361
8.30,65.9782,-32.9857,1.0341
8.40,66.0227,-32.9115,1.0300
8.50,66.0668,-32.8388,1.0248
8.60,66.1128,-32.7647,1.0203
8.70,66.1587,-32.6913,1.0170
8.80,66.1923,-32.6384,1.0121
8.90,66.2243,-32.5876,1.0082
9.00,66.2580,-32.5343,1.0024
9.10,66.2899,-32.4845,0.9985
9.20,66.3252,-32.4303,0.9927
9.30,66.3589,-32.3806,0.9857
9.40,66.3917,-32.3308,0.9785
9.50,66.4269,-32.2801,0.9733
9.60,66.4291,-32.2768,0.9738
9.70,66.4735,-32.2113,0.9711
9.80,66.5239,-32.1388,0.9672
9.90,66.5742,-32.0662,0.9649
10.00,66.6236,-31.9942,0.9627
10.10,66.6749,-31.9221,0.9582
10.20,66.7265,-31.8504,0.9541
10.30,66.7798,-31.7784,0.9499
10.40,66.8308,-31.7080,0.9450
10.50,66.8815,-31.6385,0.9409
10.60,66.9340,-31.5672,0.9368
10.70,66.9745,-31.5140,0.9313
10.80,67.0129,-31.4640,0.9281
10.90,67.0490,-31.4166,0.9204
11.00,67.0902,-31.3625,0.9164
11.10,67.1296,-31.3134,0.9075
11.20,67.1698,-31.2616,0.9059
11.30,67.2099,-31.2120,0.9014
11.40,67.2499,-31.1611,0.8944
11.50,67.2926,-31.1098,0.8882
11.60,67.3339,-31.0607,0.8818
11.70,67.3738,-31.0115,0.8787
11.80,67.4134,-30.9645,0.8716
11.90,67.4216,-30.9544,0.8725
12.00,67.4749,-30.8900,0.8722
12.10,67.5324,-30.8235,0.8693
12.20,67.5902,-30.7551,0.8676
12.30,67.6486,-30.6859,0.8680
12.40,67.7061,-30.6189,0.8656
12.50,67.7653,-30.5494,0.8641
12.60,67.8233,-30.4811,0.8599
12.70,67.8814,-30.4148,0.8591
12.80,67.9419,-30.3444,0.8594
12.90,68.0000,-30.2773,0.8571
13.00,68.0596,-30.2098,0.8558
13.10,68.1177,-30.1439,0.8537
13.20,68.1756,-30.0776,0.8542
13.30,68.2333,-30.0112,0.8522
13.40,68.2916,-29.9441,0.8520
13.50,68.3483,-29.8781,0.8508
13.60,68.4077,-29.8133,0.8481
13.70,68.4653,-29.7457,0.8468
13.80,68.4736,-29.7356,0.8430
13.90,68.5122,-29.6931,0.8539
14.00,68.5558,-29.6425,0.8612
14.10,68.5991,-29.5916,0.8705
14.20,68.6412,-29.5442,0.8790
14.30,68.6841,-29.4889,0.8859
14.40,68.7248,-29.4426,0.8905
14.50,68.7656,-29.3904,0.8993
14.60,68.8054,-29.3409,0.9070
14.70,68.8468,-29.2905,0.9179
14.80,68.8884,-29.2366,0.9249
14.90,68.9291,-29.1815,0.9339
15.00,68.9678,-29.1313,0.9410
15.10,69.0080,-29.0773,0.9493
15.20,69.0460,-29.0238,0.9537
15.30,69.0839,-28.9717,0.9616
15.40,69.1211,-28.9170,0.9705
15.50,69.1579,-28.8622,0.9755
15.60,69.1953,-28.8099,0.9859
15.70,69.2336,-28.7549,0.9966
15.80,69.2689,-28.7007,1.0026
15.90,69.3051,-28.6445,1.0092
16.00,69.3404,-28.5893,1.0177
16.10,69.3756,-28.5310,1.0277
16.20,69.3828,-28.5221,1.0262
16.30,69.4118,-28.4711,1.0412
16.40,69.4464,-28.4136,1.0526
16.50,69.4773,-28.3587,1.0631
16.60,69.5122,-28.3045,1.0770
16.70,69.5443,-28.2452,1.0877
16.80,69.5777,-28.1862,1.1006
16.90,69.6087,-28.1255,1.1183
17.00,69.6377,-28.0672,1.1308
17.10,69.6654,-28.0101,1.1406
17.20,69.6930,-27.9477,1.1606
17.30,69.7204,-27.8856,1.1737
17.40,69.7467,-27.8229,1.1916
17.50,69.7708,-27.7617,1.2039
17.60,69.7928,-27.6977,1.2192
17.70,69.8154,-27.6321,1.2324
17.80,69.8375,-27.5689,1.2514
17.90,69.8567,-27.5011,1.2644
18.00,69.8772,-27.4341,1.2814
18.10,69.8962,-27.3680,1.2925
18.20,69.9130,-27.3021,1.3091
18.30,69.9299,-27.2370,1.3185
18.40,69.9466,-27.1768,1.3316
18.50,69.9615,-27.1118,1.3435
18.60,69.9773,-27.0464,1.3565
18.70,69.9894,-26.9824,1.3663
18.80,69.9946,-26.9652,1.3660
18.90,70.0096,-26.8899,1.3666
19.00,70.0282,-26.8020,1.3660
19.10,70.0452,-26.7160,1.3683
19.20,70.0643,-26.6269,1.3705
19.30,70.0811,-26.5425,1.3721
19.40,70.1003,-26.4560,1.3734
19.50,70.1175,-26.3684,1.3729
19.60,70.1352,-26.2802,1.3762
19.70,70.1510,-26.1930,1.3765
19.80,70.1703,-26.1073,1.3793
19.90,70.1878,-26.0202,1.3825
20.00,70.2021,-25.9288,1.3837
20.10,70.2217,-25.8452,1.3864
20.20,70.2356,-25.7516,1.3875
20.30,70.2539,-25.6675,1.3893
20.40,70.2696,-25.5753,1.3916
20.50,70.2847,-25.4859,1.3939
20.60,70.3003,-25.3938,1.3996
20.70,70.2987,-25.3854,1.4029
20.80,70.3129,-25.3084,1.4034
20.90,70.3268,-25.2171,1.4012
21.00,70.3429,-25.1274,1.4003
21.10,70.3573,-25.0379,1.3996
21.20,70.3726,-24.9477,1.3986
21.30,70.3889,-24.8565,1.3988
21.40,70.4047,-24.7694,1.3968
21.50,70.4199,-24.6785,1.3970
21.60,70.4362,-24.5890,1.3954
21.70,70.4520,-24.4997,1.3951
21.80,70.4675,-24.4094,1.3946
21.90,70.4848,-24.3188,1.3920
22.00,70.5011,-24.2306,1.3909
22.10,70.5180,-24.1389,1.3917
22.20,70.5338,-24.0486,1.3900
22.30,70.5512,-23.9585,1.3885
22.40,70.5675,-23.8682,1.3886
22.50,70.5714,-23.8552,1.3908
22.60,70.5793,-23.8026,1.3738
22.70,70.5921,-23.7415,1.3583
22.80,70.6071,-23.6770,1.3520
22.90,70.6212,-23.6137,1.3399
23.00,70.6365,-23.5525,1.3286
23.10,70.6522,-23.4883,1.3175
23.20,70.6682,-23.4294,1.3076
23.30,70.6857,-23.3616,1.3009
23.40,70.7007,-23.2986,1.2925
23.50,70.7197,-23.2351,1.2814
23.60,70.7398,-23.1739,1.2762
23.70,70.7581,-23.1087,1.2673
23.80,70.7782,-23.0488,1.2582
23.90,70.7971,-22.9862,1.2491
24.00,70.8188,-22.9236,1.2419
24.10,70.8390,-22.8607,1.2342
24.20,70.8618,-22.7966,1.2296
24.30,70.8829,-22.7340,1.2181
24.40,70.9057,-22.6733,1.2089
24.50,70.9303,-22.6092,1.2054
24.60,70.9531,-22.5476,1.1975
24.70,70.9770,-22.4842,1.1908
24.80,71.0025,-22.4245,1.1791
24.90,71.0275,-22.3632,1.1717
25.00,71.0524,-22.3044,1.1629
25.10,71.0574,-22.2928,1.1638
25.20,71.0591,-22.2894,1.1639
25.30,71.0603,-22.2869,1.1636
25.40,71.0606,-22.2863,1.1635
25.50,71.0606,-22.2863,1.1635
25.60,71.0606,-22.2863,1.1635
25.70,71.0606,-22.2863,1.1635
25.80,71.0606,-22.2863,1.1635
25.90,71.0606,-22.2863,1.1635
26.00,71.0606,-22.2863,1.1635
26.10,71.0606,-22.2863,1.1635
26.20,71.0606,-22.2863,1.1635
26.30,71.0606,-22.2863,1.1635
26.40,71.0606,-22.2863,1.1635
26.50,71.0606,-22.2863,1.1635
26.60,71.0606,-22.2863,1.1635
26.70,71.0606,-22.2863,1.1635
26.80,71.0606,-22.2863,1.1635
26.90,71.0606,-22.2863,1.1635
27.00,71.0606,-22.2863,1.1635
27.10,71.0606,-22.2863,1.1635
27.20,71.0606,-22.2863,1.1635
27.30,71.0606,-22.2863,1.1635
27.40,71.0606,-22.2863,1.1635
27.50,71.0606,-22.2863,1.1635
27.60,71.0606,-22.2863,1.1635
27.70,71.0606,-22.2863,1.1635
27.80,71.0606,-22.2863,1.1635
27.90,71.0606,-22.2863,1.1635
28.00,71.0606,-22.2863,1.1635
28.10,71.0606,-22.2863,1.1635
28.20,71.0606,-22.2863,1.1635
28.30,71.0606,-22.2863,1.1635
28.40,71.0606,-22.2863,1.1635
28.50,71.0606,-22.2863,1.1635
28.60,71.0606,-22.2863,1.1635
28.70,71.1423,-22.0923,1.1675
28.80,71.2544,-21.8312,1.1617
28.90,71.3679,-21.5747,1.1539
29.00,71.4867,-21.3115,1.1384
29.10,71.6095,-21.0502,1.1007
29.20,71.7364,-20.7997,1.0778
29.30,71.8688,-20.5502,1.0543
29.40,72.0063,-20.3020,1.0242
29.50,72.1455,-20.0719,1.0029
29.60,72.2936,-19.8469,0.9594
29.70,72.4556,-19.6303,0.9163
29.80,72.6215,-19.4214,0.8790
29.90,72.8000,-19.2187,0.8207
30.00,72.9914,-19.0210,0.7633
30.10,73.1859,-18.8402,0.7110
30.20,73.3898,-18.6684,0.6590
30.30,73.6016,-18.5062,0.6248
30.40,73.8203,-18.3557,0.5799
30.50,74.0491,-18.2098,0.5313
30.60,74.2853,-18.0790,0.4990
30.70,74.5209,-17.9496,0.5017
30.80,74.7650,-17.8141,0.4898
30.90,75.0116,-17.6823,0.4832
31.00,75.2518,-17.5492,0.4750
31.10,75.3278,-17.5015,0.5316
31.20,75.3179,-17.4888,0.6647
31.30,75.3094,-17.4698,0.7940
31.40,75.3012,-17.4459,0.9354
31.50,75.2967,-17.4203,1.0618
31.60,75.3010,-17.4093,1.1863
31.70,75.2926,-17.3861,1.3119
31.80,75.2854,-17.3664,1.4358
31.90,75.2879,-17.3454,1.5563
32.00,75.2775,-17.3184,1.6758
32.10,75.2753,-17.2904,1.8081
32.20,75.2659,-17.2598,1.9194
32.30,75.2728,-17.2287,2.0579
32.40,75.2593,-17.1961,2.1691
32.50,75.2460,-17.1694,2.2866
32.60,75.2404,-17.1303,2.4212
32.70,75.2290,-17.0969,2.5405
32.80,75.2234,-17.0671,2.6447
32.90,75.2165,-17.0404,2.7716
33.00,75.2013,-17.0117,2.8773
33.10,75.1879,-16.9851,2.9882
33.20,75.1814,-16.9644,3.1039
33.30,75.1658,-16.9444,-3.0665
33.40,75.1529,-16.9288,-2.9565
33.50,74.9570,-16.9590,-2.9671
33.60,74.6918,-16.9960,-2.9952
33.70,74.4337,-17.0245,-3.0226
33.80,74.1613,-17.0483,-3.0681
33.90,73.8860,-17.0609,-3.1210
34.00,73.6094,-17.0560,3.1131
34.10,73.3320,-17.0367,3.0721
34.20,73.0643,-17.0152,3.0340
34.30,72.8022,-16.9855,3.0047
34.40,72.5299,-16.9488,2.9976
34.50,72.2694,-16.9000,2.9539
34.60,72.0080,-16.8438,2.9286
34.70,71.7451,-16.7843,2.8996
34.80,71.4873,-16.7183,2.8848
34.90,71.2271,-16.6460,2.8700
35.00,70.9563,-16.5685,2.8651
35.10,70.6866,-16.4955,2.8682
35.20,70.4219,-16.4252,2.8740
35.30,70.1573,-16.3494,2.8722
35.40,69.9001,-16.2782,2.8706
35.50,69.6453,-16.2019,2.8594
35.60,69.3846,-16.1286,2.8539
35.70,69.1221,-16.0513,2.8593
35.80,68.8667,-15.9819,2.8642
35.90,68.6134,-15.9093,2.8773
36.00,68.3429,-15.8279,2.8630
36.10,68.0957,-15.7560,2.8276
36.20,67.8574,-15.6659,2.8204
36.30,67.6034,-15.5796,2.8043
36.40,67.3533,-15.4864,2.7946
36.50,67.0977,-15.3858,2.7804
36.60,66.8468,-15.2830,2.7651
36.70,66.5945,-15.1794,2.7532
36.80,66.3326,-15.0627,2.7447
36.90,66.0937,-14.9873,2.7751
37.00,65.8861,-14.9606,2.8784
37.10,65.6524,-14.9343,2.9527
37.20,65.4017,-14.9113,3.0121
37.30,65.1591,-14.8939,3.0497
37.40,64.8965,-14.8848,3.0929
37.50,64.6202,-14.8736,3.1200
37.60,64.3501,-14.8687,-3.1306
37.70,64.0853,-14.8677,-3.1181
37.80,63.8116,-14.8780,-3.0943
37.90,63.5437,-14.8885,-3.0706
38.00,63.2724,-14.9159,-3.0225
38.10,63.0111,-14.9586,-2.9654
38.20,62.7555,-15.0164,-2.9177
38.30,62.4963,-15.0797,-2.8663
38.40,62.2378,-15.1561,-2.8155
38.50,61.9931,-15.2447,-2.7656
38.60,61.7426,-15.3428,-2.7174
38.70,61.4926,-15.4602,-2.6692
38.80,61.2572,-15.5867,-2.6358
38.90,61.0209,-15.7234,-2.5989
39.00,60.7914,-15.8702,-2.5554
39.10,60.5779,-16.0245,-2.5290
39.20,60.3664,-16.1882,-2.4693
39.30,60.1602,-16.3647,-2.4207
39.40,59.9600,-16.5440,-2.3765
39.50,59.7687,-16.7355,-2.3224
39.60,59.5882,-16.9454,-2.2623
39.70,59.4274,-17.1561,-2.2087
39.80,59.2734,-17.3769,-2.1549
39.90,59.1292,-17.6097,-2.0947
40.00,59.0033,-17.8474,-2.0222
40.10,58.8984,-18.0933,-1.9501
40.20,58.8113,-18.3337,-1.8728
40.30,58.7417,-18.5852,-1.7968
40.40,58.6904,-18.8487,-1.7082
40.50,58.6716,-19.1203,-1.5975
40.60,58.6735,-19.3787,-1.5243
40.70,58.7035,-19.6461,-1.4446
40.80,58.7497,-19.8901,-1.3366
40.90,58.8257,-20.1199,-1.2268
41.00,58.9197,-20.3396,-1.1283
41.10,59.0416,-20.5561,-1.0276
41.20,59.1837,-20.7650,-0.9696
41.30,59.3477,-20.9728,-0.9143
41.40,59.5281,-21.1738,-0.8319
41.50,59.7138,-21.3565,-0.7623
41.60,59.7792,-21.4057,-0.6851
41.70,59.7903,-21.3844,-0.5513
41.80,59.8014,-21.3700,-0.4210
41.90,59.8147,-21.3510,-0.3025
42.00,59.8202,-21.3284,-0.1536
42.10,59.8193,-21.3070,-0.0211
42.20,59.8172,-21.2865,0.1188
42.30,59.8198,-21.2684,0.2494
42.40,59.8167,-21.2571,0.3757
42.50,59.8019,-21.2389,0.5098
42.60,59.7902,-21.2271,0.6402
42.70,59.7785,-21.2152,0.7763
42.80,59.7680,-21.2073,0.8568
42.90,59.7631,-21.2032,0.9228
43.00,59.7588,-21.1974,0.9998
43.10,59.7733,-21.1876,1.0685
43.20,59.7752,-21.1848,1.1039
43.30,59.7772,-21.1784,1.1245
43.40,59.7804,-21.1677,1.1564
43.50,59.7876,-21.1606,1.1762
43.60,59.7979,-21.1542,1.2486
43.70,59.7981,-21.1484,1.3231
43.80,59.7917,-21.1348,1.3914
43.90,59.7898,-21.1296,1.4657
44.00,59.7858,-21.1716,1.4679
44.10,59.7801,-21.2228,1.4685
44.20,59.7750,-21.2683,1.4684
44.30,59.7706,-21.3164,1.4695
44.40,59.7656,-21.3639,1.4697
44.50,59.7612,-21.4109,1.4686
44.60,59.7555,-21.4608,1.4694
44.70,59.7511,-21.5054,1.4710
44.80,59.7463,-21.5538,1.4696
44.90,59.7406,-21.6045,1.4699
45.00,59.7363,-21.6507,1.4705
45.10,59.7316,-21.6998,1.4702
45.20,59.7280,-21.7000,1.5904
45.30,59.7344,-21.6875,1.7166
45.40,59.7354,-21.6693,1.8434
45.50,59.7125,-21.6511,1.9605
45.60,59.7024,-21.6368,2.0907
45.70,59.6799,-21.6230,2.2017
45.80,59.6616,-21.6047,2.3184
45.90,59.6460,-21.5942,2.4272
46.00,59.6306,-21.5849,2.5548
46.10,59.6101,-21.5627,2.6785
46.20,59.5971,-21.5369,2.8125
46.30,59.5898,-21.5160,2.9414
46.40,59.5734,-21.5106,3.0333
46.50,59.5634,-21.5057,3.1312
46.60,59.5486,-21.4883,-3.0534
46.70,59.5331,-21.4738,-2.9534
46.80,59.5305,-21.4689,-2.9210
46.90,59.5246,-21.4684,-2.8820
47.00,59.5091,-21.4617,-2.8282
47.10,59.5020,-21.4562,-2.7786
47.20,59.4884,-21.4490,-2.6603
47.30,59.4744,-21.4349,-2.5273
47.40,59.4692,-21.4310,-2.3909
47.50,59.4634,-21.4167,-2.2646
47.60,59.4566,-21.4152,-2.1449
47.70,59.4526,-21.3998,-2.0234
47.80,59.4502,-21.4006,-1.9010
47.90,59.4516,-21.3995,-1.7717
48.00,59.4515,-21.3894,-1.6536
48.10,59.4540,-21.3839,-1.5264
48.20,59.4619,-21.3785,-1.3946
48.30,59.4671,-21.3685,-1.2657
48.40,59.4624,-21.3576,-1.2402
48.50,59.4662,-21.3571,-1.2098
48.60,59.4752,-21.3586,-1.1637
48.70,59.4808,-21.3600,-1.1138
48.80,59.4748,-21.3437,-1.1023
48.90,59.4724,-21.3317,-1.0828
49.00,59.4766,-21.3217,-1.0436
49.10,59.4797,-21.3244,-1.0234
49.20,59.4864,-21.3184,-0.9787
49.30,59.4865,-21.3083,-0.9191
49.40,59.4845,-21.2983,-0.8746
49.50,59.4874,-21.2850,-0.8247
49.60,59.4528,-21.2467,-0.8248
49.70,59.4141,-21.2061,-0.8254
49.80,59.3750,-21.1629,-0.8252
49.90,59.3371,-21.1221,-0.8248
50.00,59.2986,-21.0795,-0.8232
50.10,59.2624,-21.0411,-0.8244
50.20,59.2252,-21.0001,-0.8245
50.30,59.1882,-20.9610,-0.8257
50.40,59.1902,-20.9381,-0.6956
50.50,59.1924,-20.9220,-0.5768
50.60,59.1954,-20.9025,-0.4614
50.70,59.1920,-20.8797,-0.3346
50.80,59.1909,-20.8607,-0.2216
50.90,59.1880,-20.8527,-0.1108
51.00,59.1897,-20.8371,-0.0050
51.10,59.1881,-20.8399,0.1067
51.20,59.1900,-20.8260,0.2086
51.30,59.1876,-20.8168,0.3154
51.40,59.1944,-20.8206,0.4264
51.50,59.2085,-20.8185,0.5451
51.60,59.2249,-20.8238,0.6450
51.70,59.2438,-20.8233,0.7456
51.80,59.2547,-20.8180,0.8440
51.90,59.2497,-20.7936,0.9329
52.00,59.2600,-20.7737,0.9646
52.10,59.2646,-20.7622,0.9799
52.20,59.2658,-20.7602,0.9920
52.30,59.2672,-20.7500,1.0185
52.40,59.2685,-20.7361,1.0577
52.50,59.2642,-20.7319,1.0816
52.60,59.2615,-20.7321,1.0925
52.70,59.2625,-20.7289,1.0963
52.80,59.2645,-20.7237,1.1038
52.90,59.2678,-20.7104,1.1199
53.00,59.2732,-20.6947,1.1432
53.10,59.2785,-20.6781,1.1687
53.20,59.2788,-20.6515,1.2626
53.30,59.2652,-20.6249,1.3793
53.40,59.2591,-20.6013,1.4928
53.50,59.2548,-20.5929,1.5842
53.60,59.2387,-20.5691,1.6956
53.70,59.2292,-20.5610,1.8073
53.80,59.2262,-20.5436,1.9114
53.90,59.2235,-20.5365,2.0199
54.00,59.2174,-20.5339,2.1221
54.10,59.2108,-20.5214,2.2309
54.20,59.1923,-20.5126,2.3441
54.30,59.1787,-20.5002,2.4559
54.40,59.1795,-20.4740,2.5722
54.50,59.1746,-20.4509,2.6850
54.60,59.1588,-20.4207,2.7945
54.70,59.1446,-20.3942,2.9141
54.80,59.1366,-20.3845,2.9983
54.90,59.1274,-20.3706,3.0731
55.00,59.1149,-20.3549,-3.1240
55.10,59.1066,-20.3443,-3.0401
